Program,Gene,Gene_display,Loading,Abs_loading
Program7,N900_RS15120,phosphoribosyl-AMP cyclohydrolase,1.7210352420806885,1.7210352420806885
Program7,N900_RS00425,eamA_1,1.7135236263275146,1.7135236263275146
Program7,N900_RS09030,asma_1,1.702144980430603,1.702144980430603
Program7,N900_RS08565,hisC,1.6868975162506104,1.6868975162506104
Program7,N900_RS03955,VC_2094,1.6673308610916138,1.6673308610916138
Program7,N900_RS15195,VC_A0254,1.655831217765808,1.655831217765808
Program7,N900_RS12865,hflK,1.650424242019653,1.650424242019653
Program7,N900_RS00215,rsmB,1.630455732345581,1.630455732345581
Program7,N900_RS06830,pepN,1.6273136138916016,1.6273136138916016
Program7,N900_RS00090,avtA,1.6138311624526978,1.6138311624526978
Program7,N900_RS07520,VC_1351,1.601069688796997,1.601069688796997
Program7,N900_RS13815,VC_0231,1.5913668870925903,1.5913668870925903
Program8,N900_RS11160,brxL,4.010319232940674,4.010319232940674
Program8,N900_RS18340,methyl-accepting chemotaxis protein_25,3.842075824737549,3.842075824737549
Program8,N900_RS02295,cca,3.807096481323242,3.807096481323242
Program8,N900_RS10885,flhD,3.736274242401123,3.736274242401123
Program8,N900_RS05000,ycgB_BLAST,3.6945834159851074,3.6945834159851074
Program8,N900_RS10995,endonuclease,3.690054893493652,3.690054893493652
Program8,N900_RS10540,ppk,3.6809816360473633,3.6809816360473633
Program8,N900_RS18130,yhaI,3.6768407821655273,3.6768407821655273
Program8,N900_RS15160,ulaC,3.6754205226898193,3.6754205226898193
Program8,N900_RS17670,LysR family transcriptional regulator_7,3.62223219871521,3.62223219871521
Program8,N900_RS04750,dctM_1,3.5961263179779053,3.5961263179779053
Program8,N900_RS13360,rjg,3.5764007568359375,3.5764007568359375
Program8,N900_RS04205,acuC,3.5579311847686768,3.5579311847686768
Program8,N900_RS06770,aroH,3.511227607727051,3.511227607727051
Program8,N900_RS04975,DNA internalization-related competence protein ComEC/Rec2,3.509456157684326,3.509456157684326
Program8,N900_RS13730,VC_0183,3.4964730739593506,3.4964730739593506
Program8,N900_RS16940,mycothiol reductase,3.4926791191101074,3.4926791191101074
Program8,N900_RS13680,rarD,3.4864304065704346,3.4864304065704346
Program8,N900_RS00780,RNA-binding protein,3.4802894592285156,3.4802894592285156
Program8,N900_RS15400,ygfF,3.47068452835083,3.47068452835083
Program8,N900_RS14855,psuT,3.46455717086792,3.46455717086792
Program8,N900_RS09345,VC_0973,3.4614202976226807,3.4614202976226807
Program8,N900_RS10245,"DOPA 4,5-dioxygenase",3.4481875896453857,3.4481875896453857
Program8,N900_RS14860,pepT,3.4472639560699463,3.4472639560699463
Program8,N900_RS06070,VC_1646,3.4430441856384277,3.4430441856384277
Program8,N900_RS01850,rapZ,3.4321486949920654,3.4321486949920654
Program8,N900_RS05955,metC,3.4148194789886475,3.4148194789886475
Program8,N900_RS10940,AraC family transcriptional regulator_3,3.407886743545532,3.407886743545532
Program8,N900_RS00745,sthA,3.3895392417907715,3.3895392417907715
Program8,N900_RS10705,anmK,3.3871476650238037,3.3871476650238037
Program8,N900_RS01040,nhaP2,3.3851184844970703,3.3851184844970703
Program8,N900_RS05935,ttgG,3.3793768882751465,3.3793768882751465
Program8,N900_RS13470,wavK,3.372593402862549,3.372593402862549
Program8,N900_RS08765,oppC,3.3614156246185303,3.3614156246185303
Program8,N900_RS11135,VC_A0809,3.357715606689453,3.357715606689453
