Model,Program,Program_number,Program_label,Time,Strength,Signed_mean,Relative_strength
weighted_CPVAE,CPVAE4,4,weighted CPVAE 4,12h,0.02307036992472902,0.015479919190208117,0.4178107422180086
weighted_CPVAE,CPVAE4,4,weighted CPVAE 4,1h,0.004042019463668059,-0.0027121426561885916,0.0732020837847326
weighted_CPVAE,CPVAE4,4,weighted CPVAE 4,24h,0.010016640459070858,-0.006721035941154692,0.1814041126514137
weighted_CPVAE,CPVAE4,4,weighted CPVAE 4,3h,0.030620892784402973,-0.020546222396660607,0.5545527871192011
weighted_CPVAE,CPVAE4,4,weighted CPVAE 4,6h,0.05521727326170847,0.03705007501412182,1.0
weighted_CPVAE,CPVAE5,5,weighted CPVAE 5,12h,0.050380102009512436,0.008337076869793267,0.9670182570378334
weighted_CPVAE,CPVAE5,5,weighted CPVAE 5,1h,0.008067338213246884,0.0013350114362159337,0.15484810523876524
weighted_CPVAE,CPVAE5,5,weighted CPVAE 5,24h,0.010366585571318816,0.00171549901521455,0.19898088949318682
weighted_CPVAE,CPVAE5,5,weighted CPVAE 5,3h,0.052098397980444106,0.008621426648460342,1.0
weighted_CPVAE,CPVAE5,5,weighted CPVAE 5,6h,0.021035644555619567,0.0034810523696554327,0.40376758923596084
weighted_CPVAE,CPVAE6,6,weighted CPVAE 6,12h,0.015809304711486484,-0.012279433654233183,0.36661353182610806
weighted_CPVAE,CPVAE6,6,weighted CPVAE 6,1h,0.02391236692589394,0.018573259954185524,0.5545213690931196
weighted_CPVAE,CPVAE6,6,weighted CPVAE 6,24h,0.011313568179806026,-0.008787496558700992,0.26235860865788624
weighted_CPVAE,CPVAE6,6,weighted CPVAE 6,3h,0.04312253460132821,-0.03349421844662478,1.0
weighted_CPVAE,CPVAE6,6,weighted CPVAE 6,6h,0.015989545771541658,-0.012419430965868125,0.37079327361822484
weighted_CPVAE,CPVAE7,7,weighted CPVAE 7,12h,0.020512939804954496,-0.009105324361295639,0.37574388038080736
weighted_CPVAE,CPVAE7,7,weighted CPVAE 7,1h,0.002835296910220071,0.0012585373263836294,0.051935289295807804
weighted_CPVAE,CPVAE7,7,weighted CPVAE 7,24h,0.0008833914970954086,-0.00039212156940726905,0.01618144216139457
weighted_CPVAE,CPVAE7,7,weighted CPVAE 7,3h,0.054592877957626684,0.02423279598451698,1.0
weighted_CPVAE,CPVAE7,7,weighted CPVAE 7,6h,0.05393307082294993,-0.023939919613591557,0.9879140437478149
weighted_CPVAE,CPVAE8,8,weighted CPVAE 8,12h,0.0036233881764928338,-0.002924330874520783,0.08036605624194008
weighted_CPVAE,CPVAE8,8,weighted CPVAE 8,1h,0.045086051822484735,-0.03638763712175808,1.0
weighted_CPVAE,CPVAE8,8,weighted CPVAE 8,24h,0.014678389028025124,-0.011846499478754859,0.32556385921343656
weighted_CPVAE,CPVAE8,8,weighted CPVAE 8,3h,0.0015710345493667834,-0.0012679361510284167,0.0348452456106014
weighted_CPVAE,CPVAE8,8,weighted CPVAE 8,6h,0.016209043756437766,-0.013081846254256851,0.3595134881239302
